idJugador,nombre,cantidadPartidas,rating
larso,ultraBullet,1172,2185
larso,bullet,6353,2871
larso,blitz,1438,2552
larso,rapid,39,2308
larso,classical,2,1327
larso,correspondence,1,1500
larso,chess960,11,2057
larso,kingOfTheHill,8,1956
larso,threeCheck,3,1247
larso,antichess,3,1418
larso,atomic,12,1763
larso,horde,24,2070
larso,crazyhouse,8165,2693
larso,puzzle,337,2464
neutralizerr,bullet,0,1500
neutralizerr,blitz,0,1500
neutralizerr,rapid,0,1500
neutralizerr,classical,0,1500
neutralizerr,correspondence,0,1500
neutralizerr,crazyhouse,347,2642
beerngaming,ultraBullet,197,1902
beerngaming,bullet,3105,2729
beerngaming,blitz,329,2347
beerngaming,rapid,17,2189
beerngaming,classical,0,1500
beerngaming,correspondence,0,1500
beerngaming,chess960,597,2314
beerngaming,kingOfTheHill,46,2258
beerngaming,horde,7,2087
beerngaming,crazyhouse,5484,2636
beerngaming,puzzle,38,2402
oldhas-been,bullet,4127,2481
oldhas-been,blitz,932,2447
oldhas-been,rapid,0,1500
oldhas-been,classical,0,1500
oldhas-been,correspondence,0,1500
oldhas-been,crazyhouse,6347,2631
oldhas-been,puzzle,690,2519
craze,bullet,3662,3100
craze,blitz,75,2835
craze,rapid,24,2822
craze,classical,1,1757
craze,correspondence,0,1500
craze,chess960,126,2360
craze,kingOfTheHill,74,2328
craze,threeCheck,96,2306
craze,horde,85,2271
craze,racingKings,14,1942
craze,crazyhouse,12330,2621
craze,puzzle,458,2380
hanzotherazor,bullet,0,1500
hanzotherazor,blitz,43,2442
hanzotherazor,rapid,0,1500
hanzotherazor,classical,0,1500
hanzotherazor,correspondence,0,1500
hanzotherazor,chess960,81,2411
hanzotherazor,threeCheck,97,2138
hanzotherazor,horde,1578,2531
hanzotherazor,crazyhouse,3231,2608
antichess_valentino,ultraBullet,5,1415
antichess_valentino,bullet,9,1399
antichess_valentino,blitz,4,1530
antichess_valentino,rapid,0,1500
antichess_valentino,classical,0,1500
antichess_valentino,correspondence,0,1500
antichess_valentino,antichess,17360,2475
tetiksh1agrawal,ultraBullet,1297,1728
tetiksh1agrawal,bullet,5155,2321
tetiksh1agrawal,blitz,6459,1947
tetiksh1agrawal,rapid,238,1990
tetiksh1agrawal,classical,8,1555
tetiksh1agrawal,correspondence,6,1426
tetiksh1agrawal,chess960,677,1758
tetiksh1agrawal,kingOfTheHill,1437,1981
tetiksh1agrawal,threeCheck,846,1879
tetiksh1agrawal,antichess,48393,2418
tetiksh1agrawal,atomic,706,1692
tetiksh1agrawal,horde,425,2058
tetiksh1agrawal,racingKings,575,1949
tetiksh1agrawal,crazyhouse,548,1905
tetiksh1agrawal,puzzle,1229,2113
antichessepico,bullet,0,1500
antichessepico,blitz,0,1500
antichessepico,rapid,0,1500
antichessepico,classical,0,1500
antichessepico,correspondence,0,1500
antichessepico,antichess,25913,2413
sudenurk2,ultraBullet,13,1887
sudenurk2,bullet,2084,1875
sudenurk2,blitz,359,1658
sudenurk2,rapid,303,1793
sudenurk2,classical,0,1500
sudenurk2,correspondence,3,1729
sudenurk2,antichess,38709,2408
sudenurk2,atomic,3,1414
sudenurk2,puzzle,626,1830
irajzerai,bullet,0,1500
irajzerai,blitz,126,2212
irajzerai,rapid,380,2460
irajzerai,classical,0,1500
irajzerai,correspondence,0,1500
irajzerai,antichess,1880,2401
changeopening,ultraBullet,89,1096
changeopening,bullet,293,1635
changeopening,blitz,258,1985
changeopening,rapid,74,1671
changeopening,classical,14,1041
changeopening,correspondence,0,1500
changeopening,chess960,17,1688
changeopening,kingOfTheHill,21,1573
changeopening,threeCheck,97,1510
changeopening,antichess,78210,2376
changeopening,atomic,148,1164
changeopening,horde,24,1425
changeopening,racingKings,32,1401
changeopening,crazyhouse,64,1442
changeopening,puzzle,24,1852
kex09,ultraBullet,587,1403
kex09,bullet,1284,1805
kex09,blitz,814,1808
kex09,rapid,271,1807
kex09,classical,30,1715
kex09,correspondence,0,1500
kex09,chess960,524,1709
kex09,kingOfTheHill,205,1805
kex09,threeCheck,208,1699
kex09,antichess,39711,2376
kex09,atomic,2065,1746
kex09,horde,216,1701
kex09,racingKings,4245,2043
kex09,crazyhouse,380,1801
kex09,puzzle,9323,2241
llivill,bullet,203,2103
llivill,blitz,5622,2110
llivill,rapid,233,2190
llivill,classical,1,1308
llivill,correspondence,0,1500
llivill,antichess,18413,2371
llivill,atomic,107,1600
llivill,crazyhouse,113,1624
llivill,puzzle,1054,2338
pf2000,ultraBullet,3654,1743
pf2000,bullet,5064,2305
pf2000,blitz,2218,2220
pf2000,rapid,449,2326
pf2000,classical,234,2272
pf2000,correspondence,38,2366
pf2000,chess960,372,2037
pf2000,kingOfTheHill,4521,2099
pf2000,threeCheck,471,2063
pf2000,antichess,37199,2364
pf2000,atomic,142,1668
pf2000,horde,7790,2418
pf2000,racingKings,94,1693
pf2000,crazyhouse,583,1956
pf2000,puzzle,97,2657
theunknownguyreborn,ultraBullet,2439,1820
theunknownguyreborn,bullet,4189,2300
theunknownguyreborn,blitz,1057,2114
theunknownguyreborn,rapid,170,2112
theunknownguyreborn,classical,14,1692
theunknownguyreborn,correspondence,15,1740
theunknownguyreborn,chess960,293,1909
theunknownguyreborn,kingOfTheHill,551,1981
theunknownguyreborn,threeCheck,327,1919
theunknownguyreborn,antichess,61349,2363
theunknownguyreborn,atomic,788,1780
theunknownguyreborn,horde,65,1892
theunknownguyreborn,racingKings,435,1789
theunknownguyreborn,crazyhouse,1157,2076
theunknownguyreborn,puzzle,21459,2102
statham_13,ultraBullet,21558,2123
statham_13,bullet,19801,2742
statham_13,blitz,9194,2649
statham_13,rapid,218,2570
statham_13,classical,143,2559
statham_13,correspondence,13,2367
statham_13,chess960,922,2362
statham_13,kingOfTheHill,4182,2306
statham_13,threeCheck,3736,2490
statham_13,antichess,919,2121
statham_13,atomic,10386,2502
statham_13,horde,777,2320
statham_13,racingKings,530,2041
statham_13,crazyhouse,1167,2366
statham_13,puzzle,1419,2523
vlad_00,ultraBullet,6404,1889
vlad_00,bullet,23234,2604
vlad_00,blitz,2571,2383
vlad_00,rapid,288,2344
vlad_00,classical,71,2157
vlad_00,correspondence,0,1500
vlad_00,chess960,1381,2080
vlad_00,kingOfTheHill,1048,2239
vlad_00,threeCheck,1172,2069
vlad_00,antichess,3598,2024
vlad_00,atomic,25805,2471
vlad_00,horde,1438,2163
vlad_00,racingKings,3870,2150
vlad_00,crazyhouse,2484,2089
vlad_00,puzzle,3237,2184
fast-tsunami,ultraBullet,255,2200
fast-tsunami,bullet,10652,2678
fast-tsunami,blitz,6817,2502
fast-tsunami,rapid,95,2453
fast-tsunami,classical,42,2260
fast-tsunami,correspondence,3,1670
fast-tsunami,chess960,85,2048
fast-tsunami,kingOfTheHill,180,2015
fast-tsunami,threeCheck,374,2346
fast-tsunami,antichess,2095,2021
fast-tsunami,atomic,10702,2446
fast-tsunami,horde,268,2111
fast-tsunami,racingKings,161,1847
fast-tsunami,crazyhouse,342,2155
fast-tsunami,puzzle,613,2423
pashpash,ultraBullet,963,1821
